Time_s,Time_ms,Voltage_Raw_V,Voltage_Filtered_V
0.000060250,0.060250,-0.002200,-0.002423
0.000060375,0.060375,-0.001800,-0.001761
0.000060500,0.060500,-0.001200,-0.001125
0.000060625,0.060625,-0.000600,-0.000510
0.000060750,0.060750,0.000600,0.000077
0.000060875,0.060875,0.001000,0.000641
0.000061000,0.061000,0.001800,0.001178
0.000061125,0.061125,0.002200,0.001701
0.000061250,0.061250,0.002600,0.002183
0.000061375,0.061375,0.003200,0.002624
0.000061500,0.061500,0.003000,0.003034
0.000061625,0.061625,0.004000,0.003410
0.000061750,0.061750,0.004000,0.003741
0.000061875,0.061875,0.004200,0.004026
0.000062000,0.062000,0.004400,0.004294
0.000062125,0.062125,0.004800,0.004517
0.000062250,0.062250,0.004800,0.004699
0.000062375,0.062375,0.005200,0.004845
0.000062500,0.062500,0.004800,0.004935
0.000062625,0.062625,0.005400,0.004981
0.000062750,0.062750,0.005200,0.005003
0.000062875,0.062875,0.005200,0.004983
0.000063000,0.063000,0.005000,0.004933
0.000063125,0.063125,0.005400,0.004833
0.000063250,0.063250,0.004800,0.004713
0.000063375,0.063375,0.004800,0.004563
0.000063500,0.063500,0.004200,0.004364
0.000063625,0.063625,0.004400,0.004134
0.000063750,0.063750,0.004200,0.003887
0.000063875,0.063875,0.004000,0.003589
0.000064000,0.064000,0.003400,0.003278
0.000064125,0.064125,0.003200,0.002942
0.000064250,0.064250,0.002600,0.002596
0.000064375,0.064375,0.002200,0.002233
0.000064500,0.064500,0.002000,0.001861
0.000064625,0.064625,0.001400,0.001477
0.000064750,0.064750,0.001000,0.001313
0.000064875,0.064875,0.000400,0.000834
0.000065000,0.065000,0.000400,0.000314
0.000065125,0.065125,-0.000400,-0.000279
0.000065250,0.065250,-0.000600,-0.000941
0.000065375,0.065375,-0.001000,-0.001661
0.000065500,0.065500,-0.001600,-0.002460
0.000065625,0.065625,-0.002000,-0.003302
0.000065750,0.065750,-0.002200,-0.004204
0.000065875,0.065875,-0.002800,-0.005125
0.000066000,0.066000,-0.003200,-0.006064
0.000066125,0.066125,-0.003800,-0.006972
0.000066250,0.066250,-0.003800,-0.007838
0.000066375,0.066375,-0.004600,-0.008629
0.000066500,0.066500,-0.005000,-0.009325
0.000066625,0.066625,-0.004800,-0.009885
0.000066750,0.066750,-0.005400,-0.010294
0.000066875,0.066875,-0.006200,-0.010483
0.000067000,0.067000,-0.005800,-0.010462
0.000067125,0.067125,-0.005800,-0.010200
0.000067250,0.067250,-0.006000,-0.009667
0.000067375,0.067375,-0.006200,-0.008821
0.000067500,0.067500,-0.006400,-0.007653
0.000067625,0.067625,-0.006800,-0.006139
0.000067750,0.067750,-0.006800,-0.004233
0.000067875,0.067875,-0.016200,-0.001925
0.000068000,0.068000,-0.006000,0.000800
0.000068125,0.068125,-0.004800,0.003953
0.000068250,0.068250,-0.001800,0.007551
0.000068375,0.068375,0.001800,0.011620
0.000068500,0.068500,0.006000,0.016155
0.000068625,0.068625,0.011600,0.021170
0.000068750,0.068750,0.017400,0.026674
0.000068875,0.068875,0.024200,0.032659
0.000069000,0.069000,0.031800,0.039125
0.000069125,0.069125,0.040000,0.046062
0.000069250,0.069250,0.048000,0.053461
0.000069375,0.069375,0.056800,0.061290
0.000069500,0.069500,0.066400,0.069566
0.000069625,0.069625,0.075800,0.078226
0.000069750,0.069750,0.085600,0.087269
0.000069875,0.069875,0.095600,0.096665
0.000070000,0.070000,0.105200,0.106373
0.000070125,0.070125,0.116000,0.116341
0.000070250,0.070250,0.127000,0.126560
0.000070375,0.070375,0.137600,0.136955
0.000070500,0.070500,0.148200,0.147492
0.000070625,0.070625,0.159000,0.158134
0.000070750,0.070750,0.170000,0.168799
0.000070875,0.070875,0.180400,0.179411
0.000071000,0.071000,0.190600,0.189928
0.000071125,0.071125,0.201000,0.199980
0.000071250,0.071250,0.211200,0.210056
0.000071375,0.071375,0.221800,0.219839
0.000071500,0.071500,0.230800,0.229315
0.000071625,0.071625,0.240600,0.238443
0.000071750,0.071750,0.249600,0.247179
0.000071875,0.071875,0.257800,0.255517
0.000072000,0.072000,0.266000,0.263382
0.000072125,0.072125,0.273800,0.270759
0.000072250,0.072250,0.280800,0.277627
0.000072375,0.072375,0.287400,0.283971
0.000072500,0.072500,0.293800,0.289755
0.000072625,0.072625,0.299000,0.294948
0.000072750,0.072750,0.304200,0.299556
0.000072875,0.072875,0.308200,0.303536
0.000073000,0.073000,0.312200,0.306893
0.000073125,0.073125,0.315000,0.309620
0.000073250,0.073250,0.317200,0.311695
0.000073375,0.073375,0.318800,0.313141
0.000073500,0.073500,0.320400,0.313958
0.000073625,0.073625,0.320600,0.314153
0.000073750,0.073750,0.319400,0.313712
0.000073875,0.073875,0.318200,0.312688
0.000074000,0.074000,0.316600,0.311081
0.000074125,0.074125,0.313800,0.308919
0.000074250,0.074250,0.310200,0.306194
0.000074375,0.074375,0.306400,0.302965
0.000074500,0.074500,0.302400,0.299256
0.000074625,0.074625,0.297800,0.295124
